cue	response	domain	source_url
NORWAY	edvard "peer gynt" grieg	russian	https://jboard.tv/viewtopic.php?t=343&start=0
FINLAND	jean "finlandia" sibelius	russian	https://jboard.tv/viewtopic.php?t=343&start=0
POLAND	frederic "lover of george sand" chopin	russian	https://jboard.tv/viewtopic.php?t=343&start=0
CZECHOSLOVAKIA	antonin "new world symphony" dvorak	russian	https://jboard.tv/viewtopic.php?t=343&start=0
HUNGARY (19th century)	franz "wagner's father in law" liszt	russian	https://jboard.tv/viewtopic.php?t=343&start=0
HUNGARY (20th century)	bela "magyar folk music" bartok	russian	https://jboard.tv/viewtopic.php?t=343&start=0
ARMENIA	aram khachaturian	russian	https://jboard.tv/viewtopic.php?t=343&start=0
"german baroque master"	bach, "austrian child prodigy" = mozart, and	russian	https://jboard.tv/viewtopic.php?t=343&start=0
"deaf romantic master"	beethoven. you can search the archive by word,	russian	https://jboard.tv/viewtopic.php?t=343&start=0
"the one of 'the 3 Bs' who isn't bach or beethoven" & "lullaby"	johannes brahms	german	https://jboard.tv/viewtopic.php?t=343&start=0
"wedding march"	felix mendelssohn	german	https://jboard.tv/viewtopic.php?t=343&start=0
"canon in d"	johann pachelbel	german	https://jboard.tv/viewtopic.php?t=343&start=0
"messiah" & "water music"	george frideric handel (german-english)	german	https://jboard.tv/viewtopic.php?t=343&start=0
"thus spake zarathustra"	richard strauss	german	https://jboard.tv/viewtopic.php?t=343&start=0
"spring symphony" & pianist wife clara	robert schumann	german	https://jboard.tv/viewtopic.php?t=343&start=0
"carmina burana"	carl orff	german	https://jboard.tv/viewtopic.php?t=343&start=0
"waltzes" in general & "the blue danube waltz" in particular	johann strauss ii	austrian	https://jboard.tv/viewtopic.php?t=343&start=0
"lieder composer" & "unfinished symphony"	franz schubert	austrian	https://jboard.tv/viewtopic.php?t=343&start=0
"surprise symphony" & the nickname "papa"	joseph haydn	austrian	https://jboard.tv/viewtopic.php?t=343&start=0
